song_id,song_name,album-name,song_listeners,song_url
16,CRYSTLCSTLES,NS+ (ULTRA),92899,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/CRYSTLCSTLES
17,DANGEROUS,NS+ (ULTRA),80526,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/DANGEROUS
18,MKEITSTOP,NS+ (ULTRA),78502,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/MKEITSTOP
2,Place,Darkhorse,21227,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/Place
3,different drugz,Darkhorse,16233,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/different+drugz
4,4Seasons,Darkhorse,19985,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/4Seasons
5,"guap, glock, nd sticks",Darkhorse,16646,"https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/guap,+glock,+nd+sticks"
6,trapped on marz (feat. Nezzus),Darkhorse,779,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/trapped+on+marz+(feat.+Nezzus)
7,vvs valentine,Darkhorse,78112,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/vvs+valentine
8,frank lucas,Darkhorse,19877,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/frank+lucas
19,ONTHEFLOOR,NS+ (ULTRA),76004,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/ONTHEFLOOR
20,LOUVRE,NS+ (ULTRA),65892,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/LOUVRE
21,PASSAROUND,NS+ (ULTRA),69507,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/PASSAROUND
22,otw,NS+ (ULTRA),64289,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/otw
23,VETERAN,NS+ (ULTRA),199,https://www.last.fm/pl/music/Destroy+Lonely+%5Bfeat.+Ken+Carson%5D/NS%252B+(ULTRA)/VETERAN
24,NEVEREVER,NS+ (ULTRA),233950,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/NEVEREVER
1,N(N),n(n),33525,https://www.last.fm/pl/music/Destroy+Lonely/n(n)/N(N)
1,red dead,red dead,47195,https://www.last.fm/pl/music/Destroy+Lonely/red+dead/red+dead
1,Seasons,LORD,22358,https://www.last.fm/pl/music/Destroy+Lonely/LORD/Seasons
1,Luv 4 Ya,luv 4 ya,94568,https://www.last.fm/pl/music/Destroy+Lonely/luv+4+ya/Luv+4+Ya
1,Vamp,vamp,37489,https://www.last.fm/pl/music/Destroy+Lonely/vamp/Vamp
2,Which 1 / Klueless,LORD,29432,https://www.last.fm/pl/music/Destroy+Lonely/LORD/Which+1+%2F+Klueless
3,Layover,LORD,46709,https://www.last.fm/pl/music/Destroy+Lonely/LORD/Layover
4,Devil Wears Prada,LORD,39056,https://www.last.fm/pl/music/Destroy+Lonely/LORD/Devil+Wears+Prada
1,Tied N,Tied N,36803,https://www.last.fm/pl/music/Destroy+Lonely/Tied+N/Tied+N
1,undercover,undercover,31182,https://www.last.fm/pl/music/Destroy+Lonely/undercover/undercover
1,dream about me.,dream about me.,31762,https://www.last.fm/pl/music/Destroy+Lonely/dream+about+me./dream+about+me.
1,In The Air,In the Air - Single,148513,https://www.last.fm/pl/music/Destroy+Lonely/In+the+Air+-+Single/In+The+Air
1,Bane,Bane - Single,298408,https://www.last.fm/pl/music/Destroy+Lonely/Bane+-+Single/Bane
1,if looks could kill,if looks could kill - Single,351393,https://www.last.fm/pl/music/Destroy+Lonely/if+looks+could+kill+-+Single/if+looks+could+kill
1,Online,Underworld.,2492,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Online
2,Margiela Man,Underworld.,5069,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Margiela+Man
3,Expiration Date,Underworld.,3160,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Expiration+Date
4,Real Life,Underworld.,1354,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Real+Life
5,Mochiatto,Underworld.,1956,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Mochiatto
6,Nobody,Underworld.,2240,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Nobody
7,Kool,Underworld.,2395,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Kool
8,snot nose,Underworld.,6,https://www.last.fm/pl/music/Destroy+Lonely+feat.+BigSmokeChapo/Underworld./snot+nose
1,In God We Trust,In God We Trust,3980,https://www.last.fm/pl/music/Destroy+Lonely/In+God+We+Trust/In+God+We+Trust
1,tokyoto,XO,3091,https://www.last.fm/pl/music/Destroy+Lonely/XO/tokyoto
1,Miley Cyrus,Miley Cyrus,99242,https://www.last.fm/pl/music/Destroy+Lonely/Miley+Cyrus/Miley+Cyrus
1,FUK GOIN,FUK GOIN,7569,https://www.last.fm/pl/music/Destroy+Lonely/FUK+GOIN/FUK+GOIN
1,Forever,Blak Amerika Presents: Love Lasts Forever,60121,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/Forever
2,i got em,XO,2332,https://www.last.fm/pl/music/Destroy+Lonely/XO/i+got+em
3,okay ya!,XO,2460,https://www.last.fm/pl/music/Destroy+Lonely/XO/okay+ya!
4,do the most …,XO,2436,https://www.last.fm/pl/music/Destroy+Lonely/XO/do+the+most+%E2%80%A6
5,ok / what i do,XO,2209,https://www.last.fm/pl/music/Destroy+Lonely/XO/ok+%2F+what+i+do
2,LOVE HURTS,Blak Amerika Presents: Love Lasts Forever,1677,https://www.last.fm/pl/music/Destroy+Lonely+&+Lil+Uzi+Vert/Blak+Amerika+Presents:+Love+Lasts+Forever/LOVE+HURTS
3,Luv 4 Ya,Blak Amerika Presents: Love Lasts Forever,94568,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/Luv+4+Ya
4,GET RIGHT,Blak Amerika Presents: Love Lasts Forever,14791,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/GET+RIGHT
5,Crystal Clear,Blak Amerika Presents: Love Lasts Forever,49099,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/Crystal+Clear
6,Baby Money,Blak Amerika Presents: Love Lasts Forever,47354,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/Baby+Money
7,SAY THAT,Blak Amerika Presents: Love Lasts Forever,47029,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/SAY+THAT
